team,phase1,phase2,phase3,phase4,phase5,phase6,phase7,phase8,phase9,total_kill
DXG,(3.16 %),(3.16 %),(43.16 %),(54.74 %),(42.11 %),(73.68 %),(33.68 %),(23.16 %),(32.63 %),95
QC4,(29.17 %),(17.71 %),(11.46 %),(47.92 %),(82.29 %),(4.17 %),(27.08 %),(30.21 %),(0),96
BRU,(10.59 %),(4.71 %),(42.35 %),(41.18 %),(55.29 %),(40 %),(22.35 %),(17.65 %),(28.24 %),85
AAP,(42.35 %),(34.12 %),(10.59 %),(62.35 %),(85.88 %),(15.29 %),(25.88 %),(24.71 %),(24.71 %),85
MiTH,(21.35 %),(15.73 %),(8.99 %),(30.34 %),(73.03 %),(56.18 %),(31.46 %),(19.1 %),(69.66 %),89
GC,(13.75 %),(21.25 %),(30 %),(90 %),(36.25 %),(53.75 %),(28.75 %),(16.25 %),(15 %),80
DIC,(34.88 %),(11.63 %),(24.42 %),(46.51 %),(86.05 %),(34.88 %),(6.98 %),(30.23 %),(3.49 %),86
DV,(14.08 %),(7.04 %),(4.23 %),(12.68 %),(67.61 %),(18.31 %),(54.93 %),(26.76 %),(16.9 %),71
PNG,(18.46 %),(7.69 %),(27.69 %),(24.62 %),(63.08 %),(49.23 %),(21.54 %),(18.46 %),(69.23 %),65
Fury Australia,(16.9 %),(32.39 %),(36.62 %),(52.11 %),(91.55 %),(35.21 %),(21.13 %),(19.72 %),(0),71
Victim FTF,(52.94 %),(20.59 %),(39.71 %),(55.88 %),(32.35 %),(48.53 %),(25 %),(17.65 %),(5.88 %),68
CES,(27.27 %),(20 %),(27.27 %),(60 %),(74.55 %),(43.64 %),(20 %),(18.18 %),(1.82 %),55
ATH,(27.54 %),(27.54 %),(27.54 %),(78.26 %),(68.12 %),(43.48 %),(23.19 %),(0),(14.49 %),69
DAY,(62.96 %),(31.48 %),(62.96 %),(87.04 %),(22.22 %),(12.96 %),(22.22 %),(3.7 %),(18.52 %),54
TFF,(0),(14.55 %),(34.55 %),(67.27 %),(96.36 %),(16.36 %),(10.91 %),(21.82 %),(43.64 %),55
CRE,(14.71 %),(17.65 %),(38.24 %),(61.76 %),(61.76 %),(8.82 %),(2.94 %),(2.94 %),(14.71 %),34
