rank,player,match,damages,knock,kill,survive,assist,longest,traveled,accuracy,main_weapon,kill_per_match,damages_per_match
1,DxG_Sapauu,20,6109.44,27,37,1397,19,351,143.5,0.1176,FNFal,1.85,305.472
2,AAP_CeeJay18,20,4270.08,20,32,1330,14,505,118.84,0.1024,Mini14,1.6,213.504
3,BRU_Eaddy,20,3548.97,19,30,1348,10,413,120.05,0.1573,FNFal,1.5,177.4485
4,QC_Gems,20,4935.77,26,29,1265,18,422,92.29,0.1158,FNFal,1.45,246.78850000000003
5,DIC_AnhQuan,20,4549.64,17,29,1245,13,318,84.91,0.16649999999999998,HK416,1.45,227.48200000000003
6,QC_Jowman,20,3990.0,25,29,1283,17,376,94.94,0.1464,HK416,1.45,199.5
7,GC_SixSackz,20,4015.23,21,28,1384,10,409,120.19,0.1099,HK416,1.4,200.7615
8,DIC_Tonyy,20,4516.45,27,27,1248,15,281,90.1,0.1202,HK416,1.35,225.8225
9,MiTH_HoN_BoYa,20,3393.12,19,26,1194,13,354,87.05,0.17809999999999998,HK416,1.3,169.656
10,ATH_Linksy,20,4851.26,25,25,1119,14,234,94.14,0.1623,HK416,1.25,242.56300000000002
11,MITH_DUCKMANZ,20,3695.0,25,24,1171,14,457,89.46,0.4483,HK416,1.2,184.75
12,QC_Jayers,20,4603.41,18,23,1273,18,310,98.46,0.17370000000000002,Mini14,1.15,230.1705
13,MiTH_Ezqelusia,20,4393.67,23,23,1220,13,140,93.45,0.1311,HK416,1.15,219.6835
14,DxG_LONGK,20,4072.55,11,22,1396,16,523,151.02,0.23010000000000003,HK416,1.1,203.6275
15,VTF_RDKboss,20,3837.33,19,22,1202,9,230,89.65,0.1184,Mini14,1.1,191.8665
16,DIC_74L1,20,4684.88,24,21,1303,14,289,86.66,0.2016,HK416,1.05,234.244
17,AAP_k1lla-,20,4636.33,19,21,1296,20,380,109.67,0.1008,Mini14,1.05,231.8165
18,DxG_NBK,20,4471.5,20,21,1402,17,245,140.58,0.1862,Mini14,1.05,223.575
19,DV_Leviz-,20,4308.07,23,21,1426,12,243,110.95,0.18719999999999998,HK416,1.05,215.40349999999998
20,PNG_HungVoDich,20,4336.91,23,20,1337,9,244,101.52,0.2539,HK416,1.0,216.8455
21,GC_MAGSONUS,20,4165.44,21,20,1345,19,340,109.6,0.08810000000000001,HK416,1.0,208.272
22,FURY_Ykikamucow,20,4100.53,14,20,1086,14,424,118.28,0.2257,HK416,1.0,205.0265
23,VTF_Tedeeyy,20,3834.07,13,20,1148,14,274,85.04,0.0707,Mini14,1.0,191.70350000000002
24,PNG_DrLoji,20,3635.41,15,20,1324,12,374,101.62,0.1588,Mini14,1.0,181.7705
25,BRU_GodMiao,20,3588.72,17,20,1382,13,488,131.23,0.0908,HK416,1.0,179.43599999999998
26,BRU_Conaxy,20,2595.39,13,20,1287,9,331,130.81,0.07629999999999999,HK416,1.0,129.7695
27,DV_NamC-,20,5441.12,29,19,1304,11,260,103.8,0.15539999999999998,FNFal,0.95,272.056
28,FRX_Cozyy,20,5168.27,25,19,1126,8,288,100.83,0.1251,Mini14,0.95,258.4135
29,FURY_Jouxy,20,4485.52,22,19,1234,15,418,122.72,0.2551,Mini14,0.95,224.276
30,DV_Turtle-,20,4377.24,23,19,1317,7,428,97.82,0.2896,Mini14,0.95,218.862
31,FURY_Ronon,20,3992.93,15,19,1179,17,468,113.84,0.09029999999999999,HK416,0.95,199.6465
32,CES_HaiSaki,20,3669.55,18,19,1265,14,420,120.57,0.1974,HK416,0.95,183.47750000000002
33,GC_TongK,20,3234.69,18,18,1337,10,368,119.06,0.1185,HK416,0.9,161.7345
34,AAP_MADDOG,20,4822.65,24,17,1268,22,239,108.97,0.1222,Mini14,0.85,241.1325
35,CRE_IQ500,20,3184.54,16,17,1050,7,573,119.18,0.23879999999999998,HK416,0.85,159.227
36,ATH_Xtreme,20,2921.23,21,17,1078,7,228,95.33,0.3556,HK416,0.85,146.0615
37,MiTH_MinORu,20,2720.7,15,16,1129,12,258,83.85,0.3155,Mini14,0.8,136.035
38,BRU_Noardra,20,4686.52,19,15,1274,17,386,123.04,0.1063,Mini14,0.75,234.32600000000002
39,PNG_Kush,20,3924.08,14,15,1351,13,384,112.86,0.1101,HK416,0.75,196.204
40,AAP_Kalbs,20,3306.51,12,15,1095,8,257,104.7,0.08,FNFal,0.75,165.3255
41,QC_SviTT,20,2539.36,13,15,1246,17,217,87.39,0.1274,Mini14,0.75,126.968
42,DAY_maitee,20,2322.29,20,15,1072,14,279,108.83,0.0947,FNFal,0.75,116.11449999999999
43,GC_TeenoiPpt,20,3855.59,14,14,1320,13,166,110.36,0.1007,HK416,0.7,192.7795
44,DAY_vanOtica,20,2986.86,17,14,1135,17,115,108.87,0.1373,HK416,0.7,149.34300000000002
