rank,player,match,damages,knock,kill,survive,assist,longest,traveled,accuracy,main_weapon
1,DxG_Sapauu,20,6109.44,27,37,23m : 17s,19,351m,143.5 km,11.76 %,FNFal
2,AAP_CeeJay18,20,4270.08,20,32,22m : 10s,14,505m,118.84 km,10.24 %,Mini14
3,BRU_Eaddy,20,3548.97,19,30,22m : 28s,10,413m,120.05 km,15.73 %,FNFal
4,QC_Gems,20,4935.77,26,29,21m : 5s,18,422m,92.29 km,11.58 %,FNFal
5,DIC_AnhQuan,20,4549.64,17,29,20m : 45s,13,318m,84.91 km,16.65 %,HK416
6,QC_Jowman,20,3990,25,29,21m : 23s,17,376m,94.94 km,14.64 %,HK416
7,GC_SixSackz,20,4015.23,21,28,23m : 4s,10,409m,120.19 km,10.99 %,HK416
8,DIC_Tonyy,20,4516.45,27,27,20m : 48s,15,281m,90.1 km,12.02 %,HK416
9,MiTH_HoN_BoYa,20,3393.12,19,26,19m : 54s,13,354m,87.05 km,17.81 %,HK416
10,ATH_Linksy,20,4851.26,25,25,18m : 39s,14,234m,94.14 km,16.23 %,HK416
11,MITH_DUCKMANZ,20,3695,25,24,19m : 31s,14,457m,89.46 km,44.83 %,HK416
12,QC_Jayers,20,4603.41,18,23,21m : 13s,18,310m,98.46 km,17.37 %,Mini14
13,MiTH_Ezqelusia,20,4393.67,23,23,20m : 20s,13,140m,93.45 km,13.11 %,HK416
14,DxG_LONGK,20,4072.55,11,22,23m : 16s,16,523m,151.02 km,23.01 %,HK416
15,VTF_RDKboss,20,3837.33,19,22,20m : 2s,9,230m,89.65 km,11.84 %,Mini14
16,DIC_74L1,20,4684.88,24,21,21m : 43s,14,289m,86.66 km,20.16 %,HK416
17,AAP_k1lla-,20,4636.33,19,21,21m : 36s,20,380m,109.67 km,10.08 %,Mini14
18,DxG_NBK,20,4471.5,20,21,23m : 22s,17,245m,140.58 km,18.62 %,Mini14
19,DV_Leviz-,20,4308.07,23,21,23m : 46s,12,243m,110.95 km,18.72 %,HK416
20,PNG_HungVoDich,20,4336.91,23,20,22m : 17s,9,244m,101.52 km,25.39 %,HK416
21,GC_MAGSONUS,20,4165.44,21,20,22m : 25s,19,340m,109.6 km,8.81 %,HK416
22,FURY_Ykikamucow,20,4100.53,14,20,18m : 6s,14,424m,118.28 km,22.57 %,HK416
23,VTF_Tedeeyy,20,3834.07,13,20,19m : 8s,14,274m,85.04 km,7.07 %,Mini14
24,PNG_DrLoji,20,3635.41,15,20,22m : 4s,12,374m,101.62 km,15.88 %,Mini14
