team_rank,team,total_point,r1_point,r1_kill,r2_point,r2_kill,r3_point,r3_kill,r4_point,r4_kill,r5_point,r5_kill,r6_point,r6_kill,r7_point,r7_kill,r8_point,r8_kill,r9_point,r9_kill,r10_point,r10_kill,r11_point,r11_kill,r12_point,r12_kill,r13_point,r13_kill,r14_point,r14_kill,r15_point,r15_kill,r16_point,r16_kill,r17_point,r17_kill,r18_point,r18_kill,r19_point,r19_kill,r20_point,r20_kill
"1
st",DXG,165,2,5,6,11,4,6,16,0,8,5,5,1,6,0,2,7,1,6,3,6,5,1,13,4,11,1,16,0,3,7,7,8,2,4,1,10,4,8,4,5
"2
nd",QC4,137,3,13,9,3,3,5,15,1,2,7,11,4,8,5,11,1,10,3,7,9,16,0,10,4,9,3,2,4,1,14,5,6,4,8,10,4,12,0,11,2
"3
rd",BRU,137,13,1,1,6,13,1,11,1,14,0,9,3,2,12,5,5,4,3,15,3,10,2,1,11,15,3,1,15,4,2,8,4,8,2,6,5,10,5,8,1
"4
th",AAP,135,5,5,11,0,12,1,8,11,11,5,1,6,1,12,8,3,6,7,1,7,11,4,3,3,6,1,13,0,9,6,11,3,14,3,7,1,3,4,10,3
"5
th",MiTH,133,7,1,2,14,1,10,10,6,16,2,15,0,16,0,3,6,9,2,14,2,1,11,14,0,5,2,7,4,2,12,4,7,13,1,9,6,13,1,16,2
"6
th",GC,132,1,8,13,3,11,7,6,2,3,5,6,3,7,5,1,9,11,6,12,1,13,0,9,4,13,0,5,2,8,1,6,2,6,5,4,5,11,2,1,10
"7
th",DIC,127,6,2,8,2,5,4,13,3,12,6,3,8,4,3,16,1,2,12,13,2,8,7,15,0,8,5,6,8,12,0,3,2,12,4,11,1,1,11,7,5
"8
th",DV,127,8,2,10,2,8,4,2,7,1,10,7,1,9,2,6,0,8,0,4,3,3,2,8,2,2,7,3,5,6,4,1,10,11,1,8,4,14,0,14,5
"9
th",PNG,112,15,2,4,4,6,0,1,7,4,1,2,7,12,3,4,4,7,7,5,1,4,6,12,1,12,3,12,5,7,1,16,1,5,4,5,1,6,7,13,0
"10
th",Fury Australia,107,4,3,5,1,7,8,4,2,5,4,8,10,15,1,13,2,5,2,2,8,9,2,6,5,14,1,11,3,14,5,12,1,7,3,2,4,9,4,6,2
"11
th",Victim FTF,97,11,4,7,0,10,1,5,4,7,3,10,1,3,5,10,9,3,6,6,2,6,8,11,2,4,7,15,1,11,2,9,4,15,1,14,0,16,0,2,8
"12
th",CES,92,12,4,3,4,14,3,12,0,15,2,4,4,14,2,15,1,12,1,10,1,15,0,5,3,1,9,10,2,5,4,2,5,10,3,15,0,2,7,15,0
"13
th",ATH,88,9,4,14,1,2,8,14,2,9,1,12,2,11,3,7,5,13,3,11,6,7,1,4,6,16,0,8,4,13,1,10,0,3,7,12,7,7,4,12,4
"14
th",DAY,77,10,3,12,5,9,1,9,2,10,4,13,2,5,2,9,1,16,0,8,1,2,6,7,4,3,7,9,1,15,0,14,2,9,3,3,4,8,2,5,4
"15
th",TFF,71,16,0,16,0,15,0,3,7,6,3,16,0,10,1,14,1,15,0,9,5,12,9,2,10,10,5,14,2,10,0,13,0,16,0,13,4,5,4,9,4
"16
th",CRE,55,14,0,15,2,16,0,7,2,13,0,14,0,13,3,12,1,14,1,16,0,14,1,16,0,7,1,4,3,16,0,15,1,1,11,16,3,15,1,3,4
